"TIME","GEO","UNIT","NA_ITEM","Value","Flag and Footnotes"
"2011","Euro area - 12 countries (2001-2006)","Chain linked volumes, index 2010=100","Gross domestic product at market prices","101.665",""
"2011","Euro area - 12 countries (2001-2006)","Current prices, million euro","Gross domestic product at market prices","9,594,312.5",""
"2011","Euro area - 12 countries (2001-2006)","Chain linked volumes (2010), million euro","Gross domestic product at market prices","9,496,883.1",""
"2011","Belgium","Chain linked volumes, index 2010=100","Gross domestic product at market prices","101.695",""
"2011","Belgium","Current prices, million euro","Gross domestic product at market prices","375,967.8",""
"2011","Belgium","Chain linked volumes (2010), million euro","Gross domestic product at market prices","369,293.6",""
"2011","Bulgaria","Chain linked volumes, index 2010=100","Gross domestic product at market prices","102.101",""
"2011","Bulgaria","Current prices, million euro","Gross domestic product at market prices","41,478.9",""
"2011","Bulgaria","Chain linked volumes (2010), million euro","Gross domestic product at market prices","39,089.4",""
"2011","Czechia","Chain linked volumes, index 2010=100","Gross domestic product at market prices","101.760",""
"2011","Czechia","Current prices, million euro","Gross domestic product at market prices","165,202.2",""
"2011","Czechia","Chain linked volumes (2010), million euro","Gross domestic product at market prices","160,700.8",""
"2011","Denmark","Chain linked volumes, index 2010=100","Gross domestic product at market prices","101.337",""
"2011","Denmark","Current prices, million euro","Gross domestic product at market prices","247,879.9",""
"2011","Denmark","Chain linked volumes (2010), million euro","Gross domestic product at market prices","246,416.0",""
"2011","Germany (until 1990 former territory of the FRG)","Chain linked volumes, index 2010=100","Gross domestic product at market prices","103.925",""
"2011","Germany (until 1990 former territory of the FRG)","Current prices, million euro","Gross domestic product at market prices","2,693,560.0",""
"2011","Germany (until 1990 former territory of the FRG)","Chain linked volumes (2010), million euro","Gross domestic product at market prices","2,665,057.6",""
"2011","Estonia","Chain linked volumes, index 2010=100","Gross domestic product at market prices","107.263",""
"2011","Estonia","Current prices, million euro","Gross domestic product at market prices","16,677.3",""
"2011","Estonia","Chain linked volumes (2010), million euro","Gross domestic product at market prices","15,811.8",""
"2011","Ireland","Chain linked volumes, index 2010=100","Gross domestic product at market prices","101.069",""
"2011","Ireland","Current prices, million euro","Gross domestic product at market prices","171,683.4",""
"2011","Ireland","Chain linked volumes (2010), million euro","Gross domestic product at market prices","169,151.4",""
"2011","Greece","Chain linked volumes, index 2010=100","Gross domestic product at market prices","89.851",""
"2011","Greece","Current prices, million euro","Gross domestic product at market prices","203,308.2",""
"2011","Greece","Chain linked volumes (2010), million euro","Gross domestic product at market prices","201,377.0",""
"2011","Spain","Chain linked volumes, index 2010=100","Gross domestic product at market prices","99.186",""
"2011","Spain","Current prices, million euro","Gross domestic product at market prices","1,063,763.0",""
"2011","Spain","Chain linked volumes (2010), million euro","Gross domestic product at market prices","1,063,973.1",""
"2011","France","Chain linked volumes, index 2010=100","Gross domestic product at market prices","102.193",""
"2011","France","Current prices, million euro","Gross domestic product at market prices","2,058,369.0",""
"2011","France","Chain linked volumes (2010), million euro","Gross domestic product at market prices","2,039,039.7",""
"2011","Croatia","Chain linked volumes, index 2010=100","Gross domestic product at market prices","99.915",""
"2011","Croatia","Current prices, million euro","Gross domestic product at market prices","45,378.6",""
"2011","Croatia","Chain linked volumes (2010), million euro","Gross domestic product at market prices","45,539.2",""
"2011","Italy","Chain linked volumes, index 2010=100","Gross domestic product at market prices","100.707",""
"2011","Italy","Current prices, million euro","Gross domestic product at market prices","1,648,755.8",""
"2011","Italy","Chain linked volumes (2010), million euro","Gross domestic product at market prices","1,622,676.5",""
"2011","Cyprus","Chain linked volumes, index 2010=100","Gross domestic product at market prices","100.401",""
"2011","Cyprus","Current prices, million euro","Gross domestic product at market prices","19,803.0",""
"2011","Cyprus","Chain linked volumes (2010), million euro","Gross domestic product at market prices","19,487.9",""
"2011","Latvia","Chain linked volumes, index 2010=100","Gross domestic product at market prices","102.564",""
"2011","Latvia","Current prices, million euro","Gross domestic product at market prices","19,666.0",""
"2011","Latvia","Chain linked volumes (2010), million euro","Gross domestic product at market prices","18,397.5",""
"2011","Lithuania","Chain linked volumes, index 2010=100","Gross domestic product at market prices","106.039",""
"2011","Lithuania","Current prices, million euro","Gross domestic product at market prices","31,317.2",""
"2011","Lithuania","Chain linked volumes (2010), million euro","Gross domestic product at market prices","29,726.8",""
"2011","Luxembourg","Chain linked volumes, index 2010=100","Gross domestic product at market prices","101.044",""
"2011","Luxembourg","Current prices, million euro","Gross domestic product at market prices","44,323.5",""
"2011","Luxembourg","Chain linked volumes (2010), million euro","Gross domestic product at market prices","42,845.5",""
"2011","Hungary","Chain linked volumes, index 2010=100","Gross domestic product at market prices","101.860",""
"2011","Hungary","Current prices, million euro","Gross domestic product at market prices","102,193.5",""
"2011","Hungary","Chain linked volumes (2010), million euro","Gross domestic product at market prices","101,670.4",""
"2011","Malta","Chain linked volumes, index 2010=100","Gross domestic product at market prices","100.467",""
"2011","Malta","Current prices, million euro","Gross domestic product at market prices","6,924.6",""
"2011","Malta","Chain linked volumes (2010), million euro","Gross domestic product at market prices","6,847.6",""
"2011","Netherlands","Chain linked volumes, index 2010=100","Gross domestic product at market prices","101.551",""
"2011","Netherlands","Current prices, million euro","Gross domestic product at market prices","650,359.0",""
"2011","Netherlands","Chain linked volumes (2010), million euro","Gross domestic product at market prices","649,102.0",""
"2011","Austria","Chain linked volumes, index 2010=100","Gross domestic product at market prices","102.923",""
"2011","Austria","Current prices, million euro","Gross domestic product at market prices","310,128.7",""
"2011","Austria","Chain linked volumes (2010), million euro","Gross domestic product at market prices","304,545.1",""
"2011","Poland","Chain linked volumes, index 2010=100","Gross domestic product at market prices","104.758",""
"2011","Poland","Current prices, million euro","Gross domestic product at market prices","379,860.0",""
"2011","Poland","Chain linked volumes (2010), million euro","Gross domestic product at market prices","379,422.6",""
"2011","Portugal","Chain linked volumes, index 2010=100","Gross domestic product at market prices","98.304",""
"2011","Portugal","Current prices, million euro","Gross domestic product at market prices","176,096.2",""
"2011","Portugal","Chain linked volumes (2010), million euro","Gross domestic product at market prices","176,564.3",""
"2011","Romania","Chain linked volumes, index 2010=100","Gross domestic product at market prices","101.906",""
"2011","Romania","Current prices, million euro","Gross domestic product at market prices","131,841.6",""
"2011","Romania","Chain linked volumes (2010), million euro","Gross domestic product at market prices","127,863.9",""
"2011","Slovenia","Chain linked volumes, index 2010=100","Gross domestic product at market prices","100.861",""
"2011","Slovenia","Current prices, million euro","Gross domestic product at market prices","37,058.6",""
"2011","Slovenia","Chain linked volumes (2010), million euro","Gross domestic product at market prices","36,677.1",""
"2011","Slovakia","Chain linked volumes, index 2010=100","Gross domestic product at market prices","102.637",""
"2011","Slovakia","Current prices, million euro","Gross domestic product at market prices","71,477.1",""
"2011","Slovakia","Chain linked volumes (2010), million euro","Gross domestic product at market prices","70,298.6",""
"2011","Finland","Chain linked volumes, index 2010=100","Gross domestic product at market prices","102.548",""
"2011","Finland","Current prices, million euro","Gross domestic product at market prices","197,998.0",""
"2011","Finland","Chain linked volumes (2010), million euro","Gross domestic product at market prices","192,936.3",""
"2011","Sweden","Chain linked volumes, index 2010=100","Gross domestic product at market prices","103.195",""
"2011","Sweden","Current prices, million euro","Gross domestic product at market prices","412,844.7",""
"2011","Sweden","Chain linked volumes (2010), million euro","Gross domestic product at market prices","386,668.0",""
"2011","Iceland","Chain linked volumes, index 2010=100","Gross domestic product at market prices","101.846",""
"2011","Iceland","Current prices, million euro","Gross domestic product at market prices","10,934.3",""
"2011","Iceland","Chain linked volumes (2010), million euro","Gross domestic product at market prices","10,575.0",""
"2011","Liechtenstein","Chain linked volumes, index 2010=100","Gross domestic product at market prices",":",""
"2011","Liechtenstein","Current prices, million euro","Gross domestic product at market prices",":",""
"2011","Liechtenstein","Chain linked volumes (2010), million euro","Gross domestic product at market prices",":",""
"2011","Norway","Chain linked volumes, index 2010=100","Gross domestic product at market prices","100.981",""
"2011","Norway","Current prices, million euro","Gross domestic product at market prices","358,339.5",""
"2011","Norway","Chain linked volumes (2010), million euro","Gross domestic product at market prices","326,938.4",""
"2011","Switzerland","Chain linked volumes, index 2010=100","Gross domestic product at market prices","101.920",""
"2011","Switzerland","Current prices, million euro","Gross domestic product at market prices","520,201.4",""
"2011","Switzerland","Chain linked volumes (2010), million euro","Gross domestic product at market prices","464,689.6",""
"2011","United Kingdom","Chain linked volumes, index 2010=100","Gross domestic product at market prices","101.276",""
"2011","United Kingdom","Current prices, million euro","Gross domestic product at market prices","1,912,869.3",""
"2011","United Kingdom","Chain linked volumes (2010), million euro","Gross domestic product at market prices","1,896,059.0",""
"2011","Montenegro","Chain linked volumes, index 2010=100","Gross domestic product at market prices","103.228",""
"2011","Montenegro","Current prices, million euro","Gross domestic product at market prices","3,264.8",""
"2011","Montenegro","Chain linked volumes (2010), million euro","Gross domestic product at market prices","3,226.0",""
"2011","North Macedonia","Chain linked volumes, index 2010=100","Gross domestic product at market prices","102.340",""
"2011","North Macedonia","Current prices, million euro","Gross domestic product at market prices","7,544.2",""
"2011","North Macedonia","Chain linked volumes (2010), million euro","Gross domestic product at market prices","7,274.6",""
"2011","Albania","Chain linked volumes, index 2010=100","Gross domestic product at market prices",":",""
"2011","Albania","Current prices, million euro","Gross domestic product at market prices","9,268.3",""
"2011","Albania","Chain linked volumes (2010), million euro","Gross domestic product at market prices",":",""
"2011","Serbia","Chain linked volumes, index 2010=100","Gross domestic product at market prices","102.036",""
"2011","Serbia","Current prices, million euro","Gross domestic product at market prices","35,431.7",""
"2011","Serbia","Chain linked volumes (2010), million euro","Gross domestic product at market prices","32,188.2",""
"2011","Turkey","Chain linked volumes, index 2010=100","Gross domestic product at market prices","111.200",""
"2011","Turkey","Current prices, million euro","Gross domestic product at market prices","600,961.4",""
"2011","Turkey","Chain linked volumes (2010), million euro","Gross domestic product at market prices","650,360.2",""
"2011","Bosnia and Herzegovina","Chain linked volumes, index 2010=100","Gross domestic product at market prices","100.960",""
"2011","Bosnia and Herzegovina","Current prices, million euro","Gross domestic product at market prices","13,411.8",""
"2011","Bosnia and Herzegovina","Chain linked volumes (2010), million euro","Gross domestic product at market prices","13,093.3",""
"2011","Kosovo (under United Nations Security Council Resolution 1244/99)","Chain linked volumes, index 2010=100","Gross domestic product at market prices","106.320",""
"2011","Kosovo (under United Nations Security Council Resolution 1244/99)","Current prices, million euro","Gross domestic product at market prices","4,555.9",""
"2011","Kosovo (under United Nations Security Council Resolution 1244/99)","Chain linked volumes (2010), million euro","Gross domestic product at market prices","4,285.7",""
"2012","European Union - 27 countries (from 2020)","Chain linked volumes, index 2010=100","Gross domestic product at market prices","101.085",""
"2012","European Union - 27 countries (from 2020)","Current prices, million euro","Gross domestic product at market prices","11,391,843.7",""
"2012","European Union - 27 countries (from 2020)","Chain linked volumes (2010), million euro","Gross domestic product at market prices","11,099,420.4",""
"2012","European Union - 28 countries (2013-2020)","Chain linked volumes, index 2010=100","Gross domestic product at market prices","101.323",""
"2012","European Union - 28 countries (2013-2020)","Current prices, million euro","Gross domestic product at market prices","13,502,872.6",""
"2012","European Union - 28 countries (2013-2020)","Chain linked volumes (2010), million euro","Gross domestic product at market prices","13,022,466.4",""
"2012","European Union - 15 countries (1995-2004)","Chain linked volumes, index 2010=100","Gross domestic product at market prices","101.119",""
"2012","European Union - 15 countries (1995-2004)","Current prices, million euro","Gross domestic product at market prices","12,422,761.7",""
"2012","European Union - 15 countries (1995-2004)","Chain linked volumes (2010), million euro","Gross domestic product at market prices","11,963,852.6",""
"2012","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Chain linked volumes, index 2010=100","Gross domestic product at market prices","100.753",""
"2012","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Current prices, million euro","Gross domestic product at market prices","9,781,453.7",""
"2012","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Chain linked volumes (2010), million euro","Gross domestic product at market prices","9,558,646.4",""
"2012","Euro area - 19 countries  (from 2015)","Chain linked volumes, index 2010=100","Gross domestic product at market prices","100.799",""
"2012","Euro area - 19 countries  (from 2015)","Current prices, million euro","Gross domestic product at market prices","9,836,961.4",""
"2012","Euro area - 19 countries  (from 2015)","Chain linked volumes (2010), million euro","Gross domestic product at market prices","9,609,352.2",""
"2012","Euro area - 12 countries (2001-2006)","Chain linked volumes, index 2010=100","Gross domestic product at market prices","100.728",""
"2012","Euro area - 12 countries (2001-2006)","Current prices, million euro","Gross domestic product at market prices","9,627,117.6",""
"2012","Euro area - 12 countries (2001-2006)","Chain linked volumes (2010), million euro","Gross domestic product at market prices","9,409,379.6",""
"2012","Belgium","Chain linked volumes, index 2010=100","Gross domestic product at market prices","102.446",""
"2012","Belgium","Current prices, million euro","Gross domestic product at market prices","386,174.7",""
"2012","Belgium","Chain linked volumes (2010), million euro","Gross domestic product at market prices","372,023.4",""
"2012","Bulgaria","Chain linked volumes, index 2010=100","Gross domestic product at market prices","102.872",""
"2012","Bulgaria","Current prices, million euro","Gross domestic product at market prices","42,256.8",""
"2012","Bulgaria","Chain linked volumes (2010), million euro","Gross domestic product at market prices","39,384.5",""
"2012","Czechia","Chain linked volumes, index 2010=100","Gross domestic product at market prices","100.962",""
"2012","Czechia","Current prices, million euro","Gross domestic product at market prices","162,587.5",""
"2012","Czechia","Chain linked volumes (2010), million euro","Gross domestic product at market prices","159,439.3",""
"2012","Denmark","Chain linked volumes, index 2010=100","Gross domestic product at market prices","101.566",""
"2012","Denmark","Current prices, million euro","Gross domestic product at market prices","254,578.0",""
"2012","Denmark","Chain linked volumes (2010), million euro","Gross domestic product at market prices","246,974.1",""
"2012","Germany (until 1990 former territory of the FRG)","Chain linked volumes, index 2010=100","Gross domestic product at market prices","104.360",""
"2012","Germany (until 1990 former territory of the FRG)","Current prices, million euro","Gross domestic product at market prices","2,745,310.0",""
"2012","Germany (until 1990 former territory of the FRG)","Chain linked volumes (2010), million euro","Gross domestic product at market prices","2,676,210.8",""
"2012","Estonia","Chain linked volumes, index 2010=100","Gross domestic product at market prices","110.726",""
"2012","Estonia","Current prices, million euro","Gross domestic product at market prices","17,916.7",""
"2012","Estonia","Chain linked volumes (2010), million euro","Gross domestic product at market prices","16,322.2",""
"2012","Ireland","Chain linked volumes, index 2010=100","Gross domestic product at market prices","101.016",""
"2012","Ireland","Current prices, million euro","Gross domestic product at market prices","175,512.8",""
"2012","Ireland","Chain linked volumes (2010), million euro","Gross domestic product at market prices","169,062.8",""
"2012","Greece","Chain linked volumes, index 2010=100","Gross domestic product at market prices","83.483",""
"2012","Greece","Current prices, million euro","Gross domestic product at market prices","188,380.6",""
"2012","Greece","Chain linked volumes (2010), million euro","Gross domestic product at market prices","187,106.0",""
"2012","Spain","Chain linked volumes, index 2010=100","Gross domestic product at market prices","96.250",""
"2012","Spain","Current prices, million euro","Gross domestic product at market prices","1,031,099.0",""
"2012","Spain","Chain linked volumes (2010), million euro","Gross domestic product at market prices","1,032,485.5",""
"2012","France","Chain linked volumes, index 2010=100","Gross domestic product at market prices","102.513",""
"2012","France","Current prices, million euro","Gross domestic product at market prices","2,088,804.0",""
"2012","France","Chain linked volumes (2010), million euro","Gross domestic product at market prices","2,045,424.7",""
"2012","Croatia","Chain linked volumes, index 2010=100","Gross domestic product at market prices","97.641",""
"2012","Croatia","Current prices, million euro","Gross domestic product at market prices","44,483.6",""
"2012","Croatia","Chain linked volumes (2010), million euro","Gross domestic product at market prices","44,502.8",""
"2012","Italy","Chain linked volumes, index 2010=100","Gross domestic product at market prices","97.705",""
"2012","Italy","Current prices, million euro","Gross domestic product at market prices","1,624,358.7",""
"2012","Italy","Chain linked volumes (2010), million euro","Gross domestic product at market prices","1,574,306.1",""
"2012","Cyprus","Chain linked volumes, index 2010=100","Gross domestic product at market prices","96.941",""
"2012","Cyprus","Current prices, million euro","Gross domestic product at market prices","19,440.8",""
"2012","Cyprus","Chain linked volumes (2010), million euro","Gross domestic product at market prices","18,816.2",""
"2012","Latvia","Chain linked volumes, index 2010=100","Gross domestic product at market prices","109.782",""
"2012","Latvia","Current prices, million euro","Gross domestic product at market prices","22,097.5",""
"2012","Latvia","Chain linked volumes (2010), million euro","Gross domestic product at market prices","19,692.2",""
"2012","Lithuania","Chain linked volumes, index 2010=100","Gross domestic product at market prices","110.115",""
"2012","Lithuania","Current prices, million euro","Gross domestic product at market prices","33,410.2",""
"2012","Lithuania","Chain linked volumes (2010), million euro","Gross domestic product at market prices","30,869.5",""
"2012","Luxembourg","Chain linked volumes, index 2010=100","Gross domestic product at market prices","102.711",""
"2012","Luxembourg","Current prices, million euro","Gross domestic product at market prices","46,526.2",""
"2012","Luxembourg","Chain linked volumes (2010), million euro","Gross domestic product at market prices","43,552.4",""
"2012","Hungary","Chain linked volumes, index 2010=100","Gross domestic product at market prices","100.579",""
"2012","Hungary","Current prices, million euro","Gross domestic product at market prices","100,281.2",""
"2012","Hungary","Chain linked volumes (2010), million euro","Gross domestic product at market prices","100,391.7",""
"2012","Malta","Chain linked volumes, index 2010=100","Gross domestic product at market prices","104.604",""
"2012","Malta","Current prices, million euro","Gross domestic product at market prices","7,364.5",""
"2012","Malta","Chain linked volumes (2010), million euro","Gross domestic product at market prices","7,129.6",""
"2012","Netherlands","Chain linked volumes, index 2010=100","Gross domestic product at market prices","100.505",""
"2012","Netherlands","Current prices, million euro","Gross domestic product at market prices","652,966.0",""
"2012","Netherlands","Chain linked volumes (2010), million euro","Gross domestic product at market prices","642,414.0",""
"2012","Austria","Chain linked volumes, index 2010=100","Gross domestic product at market prices","103.623",""
"2012","Austria","Current prices, million euro","Gross domestic product at market prices","318,653.0",""
"2012","Austria","Chain linked volumes (2010), million euro","Gross domestic product at market prices","306,617.4",""
"2012","Poland","Chain linked volumes, index 2010=100","Gross domestic product at market prices","106.146",""
"2012","Poland","Current prices, million euro","Gross domestic product at market prices","387,947.0",""
"2012","Poland","Chain linked volumes (2010), million euro","Gross domestic product at market prices","384,449.6",""
"2012","Portugal","Chain linked volumes, index 2010=100","Gross domestic product at market prices","94.315",""
"2012","Portugal","Current prices, million euro","Gross domestic product at market prices","168,295.6",""
"2012","Portugal","Chain linked volumes (2010), million euro","Gross domestic product at market prices","169,400.6",""
"2012","Romania","Chain linked volumes, index 2010=100","Gross domestic product at market prices","103.986",""
"2012","Romania","Current prices, million euro","Gross domestic product at market prices","132,711.2",""
"2012","Romania","Chain linked volumes (2010), million euro","Gross domestic product at market prices","130,473.2",""
"2012","Slovenia","Chain linked volumes, index 2010=100","Gross domestic product at market prices","98.199",""
"2012","Slovenia","Current prices, million euro","Gross domestic product at market prices","36,253.3",""
"2012","Slovenia","Chain linked volumes (2010), million euro","Gross domestic product at market prices","35,709.1",""
"2012","Slovakia","Chain linked volumes, index 2010=100","Gross domestic product at market prices","104.031",""
"2012","Slovakia","Current prices, million euro","Gross domestic product at market prices","73,360.8",""
"2012","Slovakia","Chain linked volumes (2010), million euro","Gross domestic product at market prices","71,253.4",""
"2012","Finland","Chain linked volumes, index 2010=100","Gross domestic product at market prices","101.115",""
"2012","Finland","Current prices, million euro","Gross domestic product at market prices","201,037.0",""
"2012","Finland","Chain linked volumes (2010), million euro","Gross domestic product at market prices","190,239.9",""
"2012","Sweden","Chain linked volumes, index 2010=100","Gross domestic product at market prices","102.588",""
"2012","Sweden","Current prices, million euro","Gross domestic product at market prices","430,037.1",""
"2012","Sweden","Chain linked volumes (2010), million euro","Gross domestic product at market prices","384,393.2",""
"2012","Iceland","Chain linked volumes, index 2010=100","Gross domestic product at market prices","102.929",""
"2012","Iceland","Current prices, million euro","Gross domestic product at market prices","11,479.9",""
"2012","Iceland","Chain linked volumes (2010), million euro","Gross domestic product at market prices","10,687.5",""
"2012","Liechtenstein","Chain linked volumes, index 2010=100","Gross domestic product at market prices",":",""
"2012","Liechtenstein","Current prices, million euro","Gross domestic product at market prices",":",""
"2012","Liechtenstein","Chain linked volumes (2010), million euro","Gross domestic product at market prices",":",""
"2012","Norway","Chain linked volumes, index 2010=100","Gross domestic product at market prices","103.711",""
"2012","Norway","Current prices, million euro","Gross domestic product at market prices","396,523.5",""
"2012","Norway","Chain linked volumes (2010), million euro","Gross domestic product at market prices","335,775.9",""
"2012","Switzerland","Chain linked volumes, index 2010=100","Gross domestic product at market prices","103.161",""
"2012","Switzerland","Current prices, million euro","Gross domestic product at market prices","538,439.0",""
"2012","Switzerland","Chain linked volumes (2010), million euro","Gross domestic product at market prices","470,345.8",""
"2012","United Kingdom","Chain linked volumes, index 2010=100","Gross domestic product at market prices","102.724",""
"2012","United Kingdom","Current prices, million euro","Gross domestic product at market prices","2,111,028.9",""
"2012","United Kingdom","Chain linked volumes (2010), million euro","Gross domestic product at market prices","1,923,180.1",""
"2012","Montenegro","Chain linked volumes, index 2010=100","Gross domestic product at market prices","100.417",""
"2012","Montenegro","Current prices, million euro","Gross domestic product at market prices","3,181.5",""
"2012","Montenegro","Chain linked volumes (2010), million euro","Gross domestic product at market prices","3,138.1",""
"2012","North Macedonia","Chain linked volumes, index 2010=100","Gross domestic product at market prices","101.873",""
"2012","North Macedonia","Current prices, million euro","Gross domestic product at market prices","7,584.8",""
"2012","North Macedonia","Chain linked volumes (2010), million euro","Gross domestic product at market prices","7,241.4",""
"2012","Albania","Chain linked volumes, index 2010=100","Gross domestic product at market prices",":",""
"2012","Albania","Current prices, million euro","Gross domestic product at market prices","9,585.8",""
"2012","Albania","Chain linked volumes (2010), million euro","Gross domestic product at market prices",":",""
"2012","Serbia","Chain linked volumes, index 2010=100","Gross domestic product at market prices","101.341",""
"2012","Serbia","Current prices, million euro","Gross domestic product at market prices","33,679.3",""
"2012","Serbia","Chain linked volumes (2010), million euro","Gross domestic product at market prices","31,968.8",""
"2012","Turkey","Chain linked volumes, index 2010=100","Gross domestic product at market prices","116.525",""
"2012","Turkey","Current prices, million euro","Gross domestic product at market prices","683,587.3",""
"2012","Turkey","Chain linked volumes (2010), million euro","Gross domestic product at market prices","681,502.7",""
"2012","Bosnia and Herzegovina","Chain linked volumes, index 2010=100","Gross domestic product at market prices","100.130",""
"2012","Bosnia and Herzegovina","Current prices, million euro","Gross domestic product at market prices","13,407.5",""
"2012","Bosnia and Herzegovina","Chain linked volumes (2010), million euro","Gross domestic product at market prices","12,985.7",""
"2012","Kosovo (under United Nations Security Council Resolution 1244/99)","Chain linked volumes, index 2010=100","Gross domestic product at market prices","108.140",""
"2012","Kosovo (under United Nations Security Council Resolution 1244/99)","Current prices, million euro","Gross domestic product at market prices","4,797.3",""
"2012","Kosovo (under United Nations Security Council Resolution 1244/99)","Chain linked volumes (2010), million euro","Gross domestic product at market prices","4,359.1",""
"2013","European Union - 27 countries (from 2020)","Chain linked volumes, index 2010=100","Gross domestic product at market prices","101.043",""
"2013","European Union - 27 countries (from 2020)","Current prices, million euro","Gross domestic product at market prices","11,520,159.1",""
"2013","European Union - 27 countries (from 2020)","Chain linked volumes (2010), million euro","Gross domestic product at market prices","11,094,809.0",""
"2013","European Union - 28 countries (2013-2020)","Chain linked volumes, index 2010=100","Gross domestic product at market prices","101.633",""
"2013","European Union - 28 countries (2013-2020)","Current prices, million euro","Gross domestic product at market prices","13,616,497.1",""
"2013","European Union - 28 countries (2013-2020)","Chain linked volumes (2010), million euro","Gross domestic product at market prices","13,062,409.4",""
"2013","European Union - 15 countries (1995-2004)","Chain linked volumes, index 2010=100","Gross domestic product at market prices","101.360",""
"2013","European Union - 15 countries (1995-2004)","Current prices, million euro","Gross domestic product at market prices","12,519,026.2",""
"2013","European Union - 15 countries (1995-2004)","Chain linked volumes (2010), million euro","Gross domestic product at market prices","11,992,338.2",""
"2013","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Chain linked volumes, index 2010=100","Gross domestic product at market prices","100.500",""
"2013","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Current prices, million euro","Gross domestic product at market prices","9,877,616.6",""
"2013","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Chain linked volumes (2010), million euro","Gross domestic product at market prices","9,534,648.2",""
"2013","Euro area - 19 countries  (from 2015)","Chain linked volumes, index 2010=100","Gross domestic product at market prices","100.564",""
"2013","Euro area - 19 countries  (from 2015)","Current prices, million euro","Gross domestic product at market prices","9,935,447.4",""
"2013","Euro area - 19 countries  (from 2015)","Chain linked volumes (2010), million euro","Gross domestic product at market prices","9,586,955.6",""
"2013","Euro area - 12 countries (2001-2006)","Chain linked volumes, index 2010=100","Gross domestic product at market prices","100.476",""
"2013","Euro area - 12 countries (2001-2006)","Current prices, million euro","Gross domestic product at market prices","9,722,094.9",""
"2013","Euro area - 12 countries (2001-2006)","Chain linked volumes (2010), million euro","Gross domestic product at market prices","9,385,868.5",""
"2013","Belgium","Chain linked volumes, index 2010=100","Gross domestic product at market prices","102.917",""
"2013","Belgium","Current prices, million euro","Gross domestic product at market prices","392,880.0",""
"2013","Belgium","Chain linked volumes (2010), million euro","Gross domestic product at market prices","373,731.9",""
"2013","Bulgaria","Chain linked volumes, index 2010=100","Gross domestic product at market prices","102.295",""
"2013","Bulgaria","Current prices, million euro","Gross domestic product at market prices","42,050.2",""
"2013","Bulgaria","Chain linked volumes (2010), million euro","Gross domestic product at market prices","39,163.7",""
"2013","Czechia","Chain linked volumes, index 2010=100","Gross domestic product at market prices","100.915",""
"2013","Czechia","Current prices, million euro","Gross domestic product at market prices","159,461.5",""
"2013","Czechia","Chain linked volumes (2010), million euro","Gross domestic product at market prices","159,366.1",""
