"TIME","GEO","AGE","SEX","INDIC_IL","UNIT","Value","Flag and Footnotes"
"2011","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","From 25 to 49 years","Total","Median equivalised net income","National currency",":",""
"2011","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","From 25 to 49 years","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2011","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","From 25 to 54 years","Total","Median equivalised net income","Euro","15,968","e"
"2011","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","From 25 to 54 years","Total","Median equivalised net income","National currency",":",""
"2011","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","From 25 to 54 years","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2011","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","From 50 to 64 years","Total","Median equivalised net income","Euro","16,538","e"
"2011","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","From 50 to 64 years","Total","Median equivalised net income","National currency",":",""
"2011","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","From 50 to 64 years","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2011","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","From 55 to 64 years","Total","Median equivalised net income","Euro","16,278","e"
"2011","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","From 55 to 64 years","Total","Median equivalised net income","National currency",":",""
"2011","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","From 55 to 64 years","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2011","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Less than 60 years","Total","Median equivalised net income","Euro","15,187","e"
"2011","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Less than 60 years","Total","Median equivalised net income","National currency",":",""
"2011","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Less than 60 years","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2011","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","60 years or over","Total","Median equivalised net income","Euro","14,382","e"
"2011","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","60 years or over","Total","Median equivalised net income","National currency",":",""
"2011","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","60 years or over","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2011","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Less than 65 years","Total","Median equivalised net income","Euro","15,256","e"
"2011","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Less than 65 years","Total","Median equivalised net income","National currency",":",""
"2011","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Less than 65 years","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2011","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","From 65 to 74 years","Total","Median equivalised net income","Euro",":",""
"2011","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","From 65 to 74 years","Total","Median equivalised net income","National currency",":",""
"2011","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","From 65 to 74 years","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2011","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","65 years or over","Total","Median equivalised net income","Euro","13,910","e"
"2011","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","65 years or over","Total","Median equivalised net income","National currency",":",""
"2011","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","65 years or over","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2011","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Less than 75 years","Total","Median equivalised net income","Euro","15,140","e"
"2011","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Less than 75 years","Total","Median equivalised net income","National currency",":",""
"2011","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Less than 75 years","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2011","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","75 years or over","Total","Median equivalised net income","Euro","13,437","e"
"2011","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","75 years or over","Total","Median equivalised net income","National currency",":",""
"2011","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","75 years or over","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2011","European Union - 27 countries (from 2020)","Total","Total","Median equivalised net income","Euro","14,652","e"
"2011","European Union - 27 countries (from 2020)","Total","Total","Median equivalised net income","National currency",":",""
"2011","European Union - 27 countries (from 2020)","Total","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2011","European Union - 27 countries (from 2020)","Less than 6 years","Total","Median equivalised net income","Euro","14,337","e"
"2011","European Union - 27 countries (from 2020)","Less than 6 years","Total","Median equivalised net income","National currency",":",""
"2011","European Union - 27 countries (from 2020)","Less than 6 years","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2011","European Union - 27 countries (from 2020)","From 6 to 10 years","Total","Median equivalised net income","Euro",":",""
"2011","European Union - 27 countries (from 2020)","From 6 to 10 years","Total","Median equivalised net income","National currency",":",""
"2011","European Union - 27 countries (from 2020)","From 6 to 10 years","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2011","European Union - 27 countries (from 2020)","From 6 to 11 years","Total","Median equivalised net income","Euro","13,585","e"
"2011","European Union - 27 countries (from 2020)","From 6 to 11 years","Total","Median equivalised net income","National currency",":",""
"2011","European Union - 27 countries (from 2020)","From 6 to 11 years","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2011","European Union - 27 countries (from 2020)","From 11 to 15 years","Total","Median equivalised net income","Euro",":",""
"2011","European Union - 27 countries (from 2020)","From 11 to 15 years","Total","Median equivalised net income","National currency",":",""
"2011","European Union - 27 countries (from 2020)","From 11 to 15 years","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2011","European Union - 27 countries (from 2020)","From 12 to 17 years","Total","Median equivalised net income","Euro","13,081","e"
"2011","European Union - 27 countries (from 2020)","From 12 to 17 years","Total","Median equivalised net income","National currency",":",""
"2011","European Union - 27 countries (from 2020)","From 12 to 17 years","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2011","European Union - 27 countries (from 2020)","Less than 16 years","Total","Median equivalised net income","Euro","13,739","e"
"2011","European Union - 27 countries (from 2020)","Less than 16 years","Total","Median equivalised net income","National currency",":",""
"2011","European Union - 27 countries (from 2020)","Less than 16 years","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2011","European Union - 27 countries (from 2020)","From 16 to 24 years","Total","Median equivalised net income","Euro","13,220","e"
"2011","European Union - 27 countries (from 2020)","From 16 to 24 years","Total","Median equivalised net income","National currency",":",""
"2011","European Union - 27 countries (from 2020)","From 16 to 24 years","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2011","European Union - 27 countries (from 2020)","From 16 to 64 years","Total","Median equivalised net income","Euro","15,201","e"
"2011","European Union - 27 countries (from 2020)","From 16 to 64 years","Total","Median equivalised net income","National currency",":",""
"2011","European Union - 27 countries (from 2020)","From 16 to 64 years","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2011","European Union - 27 countries (from 2020)","16 years or over","Total","Median equivalised net income","Euro","14,851","e"
"2011","European Union - 27 countries (from 2020)","16 years or over","Total","Median equivalised net income","National currency",":",""
"2011","European Union - 27 countries (from 2020)","16 years or over","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2011","European Union - 27 countries (from 2020)","Less than 18 years","Total","Median equivalised net income","Euro","13,649","e"
"2011","European Union - 27 countries (from 2020)","Less than 18 years","Total","Median equivalised net income","National currency",":",""
"2011","European Union - 27 countries (from 2020)","Less than 18 years","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2011","European Union - 27 countries (from 2020)","From 18 to 24 years","Total","Median equivalised net income","Euro","13,306","e"
"2011","European Union - 27 countries (from 2020)","From 18 to 24 years","Total","Median equivalised net income","National currency",":",""
"2011","European Union - 27 countries (from 2020)","From 18 to 24 years","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2011","European Union - 27 countries (from 2020)","From 18 to 64 years","Total","Median equivalised net income","Euro","15,292","e"
"2011","European Union - 27 countries (from 2020)","From 18 to 64 years","Total","Median equivalised net income","National currency",":",""
"2011","European Union - 27 countries (from 2020)","From 18 to 64 years","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2011","European Union - 27 countries (from 2020)","18 years or over","Total","Median equivalised net income","Euro","14,911","e"
"2011","European Union - 27 countries (from 2020)","18 years or over","Total","Median equivalised net income","National currency",":",""
"2011","European Union - 27 countries (from 2020)","18 years or over","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2011","European Union - 27 countries (from 2020)","From 25 to 49 years","Total","Median equivalised net income","Euro","15,293","e"
"2011","European Union - 27 countries (from 2020)","From 25 to 49 years","Total","Median equivalised net income","National currency",":",""
"2011","European Union - 27 countries (from 2020)","From 25 to 49 years","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2011","European Union - 27 countries (from 2020)","From 25 to 54 years","Total","Median equivalised net income","Euro","15,488","e"
"2011","European Union - 27 countries (from 2020)","From 25 to 54 years","Total","Median equivalised net income","National currency",":",""
"2011","European Union - 27 countries (from 2020)","From 25 to 54 years","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2011","European Union - 27 countries (from 2020)","From 50 to 64 years","Total","Median equivalised net income","Euro","16,194","e"
"2011","European Union - 27 countries (from 2020)","From 50 to 64 years","Total","Median equivalised net income","National currency",":",""
"2011","European Union - 27 countries (from 2020)","From 50 to 64 years","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2011","European Union - 27 countries (from 2020)","From 55 to 64 years","Total","Median equivalised net income","Euro","15,981","e"
"2011","European Union - 27 countries (from 2020)","From 55 to 64 years","Total","Median equivalised net income","National currency",":",""
"2011","European Union - 27 countries (from 2020)","From 55 to 64 years","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2011","European Union - 27 countries (from 2020)","Less than 60 years","Total","Median equivalised net income","Euro","14,816","e"
"2011","European Union - 27 countries (from 2020)","Less than 60 years","Total","Median equivalised net income","National currency",":",""
"2011","European Union - 27 countries (from 2020)","Less than 60 years","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2011","European Union - 27 countries (from 2020)","60 years or over","Total","Median equivalised net income","Euro","14,238","e"
"2011","European Union - 27 countries (from 2020)","60 years or over","Total","Median equivalised net income","National currency",":",""
"2011","European Union - 27 countries (from 2020)","60 years or over","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2011","European Union - 27 countries (from 2020)","Less than 65 years","Total","Median equivalised net income","Euro","14,882","e"
"2011","European Union - 27 countries (from 2020)","Less than 65 years","Total","Median equivalised net income","National currency",":",""
"2011","European Union - 27 countries (from 2020)","Less than 65 years","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2011","European Union - 27 countries (from 2020)","From 65 to 74 years","Total","Median equivalised net income","Euro",":",""
"2011","European Union - 27 countries (from 2020)","From 65 to 74 years","Total","Median equivalised net income","National currency",":",""
"2011","European Union - 27 countries (from 2020)","From 65 to 74 years","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2011","European Union - 27 countries (from 2020)","65 years or over","Total","Median equivalised net income","Euro","13,825","e"
"2011","European Union - 27 countries (from 2020)","65 years or over","Total","Median equivalised net income","National currency",":",""
"2011","European Union - 27 countries (from 2020)","65 years or over","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2011","European Union - 27 countries (from 2020)","Less than 75 years","Total","Median equivalised net income","Euro","14,794","e"
"2011","European Union - 27 countries (from 2020)","Less than 75 years","Total","Median equivalised net income","National currency",":",""
"2011","European Union - 27 countries (from 2020)","Less than 75 years","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2011","European Union - 27 countries (from 2020)","75 years or over","Total","Median equivalised net income","Euro","13,424","e"
"2011","European Union - 27 countries (from 2020)","75 years or over","Total","Median equivalised net income","National currency",":",""
"2011","European Union - 27 countries (from 2020)","75 years or over","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2011","European Union - 28 countries (2013-2020)","Total","Total","Median equivalised net income","Euro","14,960",""
"2011","European Union - 28 countries (2013-2020)","Total","Total","Median equivalised net income","National currency",":",""
"2011","European Union - 28 countries (2013-2020)","Total","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2011","European Union - 28 countries (2013-2020)","Less than 6 years","Total","Median equivalised net income","Euro","14,503",""
"2011","European Union - 28 countries (2013-2020)","Less than 6 years","Total","Median equivalised net income","National currency",":",""
"2011","European Union - 28 countries (2013-2020)","Less than 6 years","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2011","European Union - 28 countries (2013-2020)","From 6 to 10 years","Total","Median equivalised net income","Euro",":",""
"2011","European Union - 28 countries (2013-2020)","From 6 to 10 years","Total","Median equivalised net income","National currency",":",""
"2011","European Union - 28 countries (2013-2020)","From 6 to 10 years","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2011","European Union - 28 countries (2013-2020)","From 6 to 11 years","Total","Median equivalised net income","Euro","13,880",""
"2011","European Union - 28 countries (2013-2020)","From 6 to 11 years","Total","Median equivalised net income","National currency",":",""
"2011","European Union - 28 countries (2013-2020)","From 6 to 11 years","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2011","European Union - 28 countries (2013-2020)","From 11 to 15 years","Total","Median equivalised net income","Euro",":",""
"2011","European Union - 28 countries (2013-2020)","From 11 to 15 years","Total","Median equivalised net income","National currency",":",""
"2011","European Union - 28 countries (2013-2020)","From 11 to 15 years","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2011","European Union - 28 countries (2013-2020)","From 12 to 17 years","Total","Median equivalised net income","Euro","13,346",""
"2011","European Union - 28 countries (2013-2020)","From 12 to 17 years","Total","Median equivalised net income","National currency",":",""
"2011","European Union - 28 countries (2013-2020)","From 12 to 17 years","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2011","European Union - 28 countries (2013-2020)","Less than 16 years","Total","Median equivalised net income","Euro","13,973",""
"2011","European Union - 28 countries (2013-2020)","Less than 16 years","Total","Median equivalised net income","National currency",":",""
"2011","European Union - 28 countries (2013-2020)","Less than 16 years","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2011","European Union - 28 countries (2013-2020)","From 16 to 24 years","Total","Median equivalised net income","Euro","13,577",""
"2011","European Union - 28 countries (2013-2020)","From 16 to 24 years","Total","Median equivalised net income","National currency",":",""
"2011","European Union - 28 countries (2013-2020)","From 16 to 24 years","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2011","European Union - 28 countries (2013-2020)","From 16 to 64 years","Total","Median equivalised net income","Euro","15,629",""
"2011","European Union - 28 countries (2013-2020)","From 16 to 64 years","Total","Median equivalised net income","National currency",":",""
"2011","European Union - 28 countries (2013-2020)","From 16 to 64 years","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2011","European Union - 28 countries (2013-2020)","16 years or over","Total","Median equivalised net income","Euro","15,178",""
"2011","European Union - 28 countries (2013-2020)","16 years or over","Total","Median equivalised net income","National currency",":",""
"2011","European Union - 28 countries (2013-2020)","16 years or over","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2011","European Union - 28 countries (2013-2020)","Less than 18 years","Total","Median equivalised net income","Euro","13,886",""
"2011","European Union - 28 countries (2013-2020)","Less than 18 years","Total","Median equivalised net income","National currency",":",""
"2011","European Union - 28 countries (2013-2020)","Less than 18 years","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2011","European Union - 28 countries (2013-2020)","From 18 to 24 years","Total","Median equivalised net income","Euro","13,736",""
"2011","European Union - 28 countries (2013-2020)","From 18 to 24 years","Total","Median equivalised net income","National currency",":",""
"2011","European Union - 28 countries (2013-2020)","From 18 to 24 years","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
"2011","European Union - 28 countries (2013-2020)","From 18 to 64 years","Total","Median equivalised net income","Euro","15,730",""
"2011","European Union - 28 countries (2013-2020)","From 18 to 64 years","Total","Median equivalised net income","National currency",":",""
"2011","European Union - 28 countries (2013-2020)","From 18 to 64 years","Total","Median equivalised net income","Purchasing power standard (PPS)",":",""
